route_state,stable_tag_id,stable_count,route_action,handled_turn_tags,tag_corr_active,tag_corr_sent,tag_corr_raw_deg,tag_corr_cmd_deg,camera_x_offset_cm,agv_center_deviation_cm,tag_in_gate,tag_gate_dx_px,tag_gate_dy_px,tag_k_lat_deg_per_cm,tag_k_px_deg_per_px,tag_k_yaw,pending_turn_tag_id,pending_turn_command,time_s,frame_index,tag_detected,tag_count,tag_id,lateral_offset_cm,lateral_offset_px,lateral_offset_norm,yaw_error_deg,raw_yaw_image_deg,center_x_px,center_y_px,tag_width_px,mega_time_s,mega_age_s,motion_state,last_command,mega_event,mega_heading_error_deg,mega_control_error_deg,mega_correction_rpm,mega_left_rpm,mega_right_rpm,mega_last_line
IDLE,3,4,,,0,0,,,0.000,-0.022,1,-2.320,46.607,-1.000,0.020,0.000,,,7.656,116,1,1,3,-0.022,-2.320,-0.00725,0.824,0.824,317.680,286.607,208.806,0.001,7.655,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,1,,,0,0,,,0.000,-0.022,1,-2.327,46.595,-1.000,0.020,0.000,,,7.792,118,1,1,3,-0.022,-2.327,-0.00727,0.823,0.823,317.673,286.595,208.822,0.001,7.791,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,2,,,0,0,,,0.000,-0.022,1,-2.311,46.584,-1.000,0.020,0.000,,,7.860,119,1,1,3,-0.022,-2.311,-0.00722,0.821,0.821,317.689,286.584,208.819,0.001,7.859,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,3,,,0,0,,,0.000,-0.022,1,-2.325,46.583,-1.000,0.020,0.000,,,7.924,120,1,1,3,-0.022,-2.325,-0.00727,0.821,0.821,317.675,286.583,208.823,0.001,7.923,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,1,,,0,0,,,0.000,-0.022,1,-2.310,46.596,-1.000,0.020,0.000,,,8.060,122,1,1,3,-0.022,-2.310,-0.00722,0.824,0.824,317.690,286.596,208.826,0.001,8.059,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,2,,,0,0,,,0.000,-0.022,1,-2.316,46.600,-1.000,0.020,0.000,,,8.128,123,1,1,3,-0.022,-2.316,-0.00724,0.816,0.816,317.684,286.600,208.835,0.001,8.127,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,1,,,0,0,,,0.000,-0.022,1,-2.329,46.601,-1.000,0.020,0.000,,,8.260,125,1,1,3,-0.022,-2.329,-0.00728,0.819,0.819,317.671,286.601,208.828,0.001,8.259,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,2,,,0,0,,,0.000,-0.022,1,-2.314,46.594,-1.000,0.020,0.000,,,8.328,126,1,1,3,-0.022,-2.314,-0.00723,0.824,0.824,317.686,286.594,208.833,0.001,8.327,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,3,,,0,0,,,0.000,-0.022,1,-2.335,46.589,-1.000,0.020,0.000,,,8.396,127,1,1,3,-0.022,-2.335,-0.00730,0.822,0.822,317.665,286.589,208.807,0.001,8.395,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,1,,,0,0,,,0.000,-0.022,1,-2.335,46.601,-1.000,0.020,0.000,,,8.528,129,1,1,3,-0.022,-2.335,-0.00730,0.827,0.827,317.665,286.601,208.826,0.001,8.527,STOPPED,,EVT:READY,,,,,,EVT:READY
